chembl_id,smiles,ic50_nm,pic50
CHEMBL525530,CC(C)(C)c1ccc(-c2ccccc2C(=O)NCCc2c[nH]c3ccccc23)cc1,150000.0,3.8239087409443187
CHEMBL523735,NC(=O)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,20.0,7.698970004336019
CHEMBL1800451,CCc1cc(-c2cc(N3C[C@H](O)[C@@H](O)C3)ccc2O)nc(N)n1,40.5,7.392544976785332
CHEMBL1809122,O=c1[nH]cc(-c2cccc3cccnc23)c2sc(-c3ccncc3)cc12,7943.28,5.100000128334196
CHEMBL1933346,COc1ccc(-c2nc(Nc3cccc(NC(=O)CN)c3)nc3[nH]cnc23)cc1OC,330.0,6.481486060122113
CHEMBL1957098,COc1ccc(-c2ocnc2C(=O)NCc2ccncc2)cn1,1995.26,5.700000503883016
CHEMBL2023414,COc1ccc(-c2nc(Nc3cccc(NC(=O)NCCN4CCOCC4)c3)nc3[nH]cnc23)cc1OC,84.0,7.075720713938118
CHEMBL269882,NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc4[nH]nc(Cl)c4c32)cc1,42.6,7.370590400897281
CHEMBL498521,CN(CCc1c[nH]c2ccccc12)C(=O)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,378100.0,3.4223933226374643
CHEMBL14762,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,18614.42,4.730150491259919
CHEMBL83369,O=C1Nc2ccc(F)c3c(SCCO)cc(-c4ccc[nH]4)c1c23,1605.0,5.794524963259109
CHEMBL604748,COc1cc(O)cc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,25000.0,4.6020599913279625
CHEMBL271183,NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3cc(Br)ccc32)cc1,43.0,7.366531544420414
CHEMBL271183,NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3cc(Br)ccc32)cc1,43.0,7.366531544420414
CHEMBL180814,CC(C)c1cnn2c(Nc3ccc(S(=O)(=O)N(C)C)cc3)cc(O[C@H]3CC[C@H](N)CC3)nc12,14008.5,4.853608365542141
CHEMBL241517,Nc1ncc(-c2cccc(S(N)(=O)=O)c2)c2scc(-c3ccc(F)c(Cl)c3)c12,21.0,7.6777807052660805
CHEMBL116047,O=C(Nc1cc(C2CC2)[nH]n1)c1ccccc1Br,1500.0,5.823908740944319
CHEMBL116047,O=C(Nc1cc(C2CC2)[nH]n1)c1ccccc1Br,1500.0,5.823908740944319
CHEMBL488128,CN1CC2CC1CN2c1ccc(N/C=C2\C(=O)NC(=O)c3ccc(I)cc32)cc1,1900.0,5.721246399047171
CHEMBL2348153,N#Cc1ccc2ccn(-c3cc(N)ncn3)c2n1,689.5,6.161465729488131
CHEMBL272165,NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc(C(=O)NCc4ccncc4)cc32)cc1,8.9,8.050609993355087
CHEMBL482678,CN1CCN(c2ccc(N/C=C3\C(=O)NC(=O)c4ccccc43)cc2)CC1,4100.0,5.3872161432802645
CHEMBL540752,Cc1nnc2sc(S)nn12,19000.0,4.721246399047171
CHEMBL1242973,COC(=O)[C@@]1(Cc2ccc(O)c(CC=C(C)C)c2)OC(=O)C(O)=C1c1ccc(O)cc1,11700.0,4.931814138253839
CHEMBL2042135,C[C@H](/C=C\C(F)(F)F)Oc1cc(-c2cc(-c3cc(CN(C)C)cs3)cnc2N)ccc1C(N)=O,975.0,6.010995384301463
CHEMBL2023413,COc1ccc(-c2nc(Nc3cccc(NC(=O)NC4CCNC4)c3)nc3[nH]cnc23)cc1,22023.0,4.657123521208886
CHEMBL3421968,COc1cc(N2CCN(C)CC2)ccc1Nc1nccc(-c2cn(C)c3cnccc23)n1,403.1,6.3945872018469485
CHEMBL507249,O[C@H]1CC[C@H](c2n[nH]cc2-c2ccnc(NC3CCCC3)n2)CC1,1200.0,5.920818753952375
CHEMBL483530,COc1ccc(-c2ccc3c(c2)/C(=C/Nc2ccc(CN4CCCCC4)cc2)C(=O)NC3=O)cc1,130.0,6.886056647693163
CHEMBL378420,Nc1nc(Nc2ccc(S(=O)(=O)NC(=O)CCN3CCOCC3)cc2)nn1C(=O)c1c(F)cccc1F,11230.0,4.949620243738543
CHEMBL101779,COc1ccc(Nc2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)cc1,57000.0,4.2441251443275085
CHEMBL257625,CCNc1ccc2[nH]nc(NC(=O)Cc3ccccc3)c2c1,500.0,6.301029995663981
CHEMBL336242,O=C(Nc1cc(CN[C@H]2Cc3ccc(Cl)cc3C2)n[nH]1)Nc1cccc2c1[C@@H]1CCCN1C2=O,120.0,6.920818753952375
CHEMBL260928,O=C(Nc1n[nH]c2cc(-c3ccsc3)ccc12)C1CC1,330.065,6.481400525693185
CHEMBL189350,Nc1nc2ccc(C(=O)c3c(Cl)cccc3Cl)cn2c1C(=O)c1c(F)cccc1F,53.0,7.275724130399211
CHEMBL412091,NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc(S(=O)(=O)O)cc32)cc1,72.5,7.139661993429006
CHEMBL326310,O=C(Nc1cc(C2CC2)[nH]n1)c1cccc(Cl)c1,1000.0,6.0
CHEMBL326310,O=C(Nc1cc(C2CC2)[nH]n1)c1cccc(Cl)c1,1000.0,6.0
CHEMBL23254,CC(C)[C@H](CO)Nc1nc(Nc2ccc(C(=O)O)c(Cl)c2)c2ncn(C(C)C)c2n1,11.0,7.958607314841775
CHEMBL23254,CC(C)[C@H](CO)Nc1nc(Nc2ccc(C(=O)O)c(Cl)c2)c2ncn(C(C)C)c2n1,11.0,7.958607314841775
CHEMBL456759,COc1cccc(-c2ccccc2C(=O)NCCc2c[nH]c3ccccc23)c1,489500.0,3.3102473038608435
CHEMBL498659,Cl.O=C(N[C@H]1CCCNC1)c1n[nH]cc1NC(=O)c1c(F)cccc1F,44.0,7.356547323513813
CHEMBL563150,Cn1nc(C(=O)Nc2ccccc2)c2c1-c1nc(Nc3ccccc3)ncc1CC2,574.0,6.241088107602026
CHEMBL563674,S=c1[nH]c(=S)c2c(Cc3nn4c(Cc5ccccc5)nnc4s3)n[nH]c2[nH]1,19000.0,4.721246399047171
CHEMBL551722,Cc1nnc2sc(NN)nn12,16500.0,4.782516055786093
